,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
394594,4,Female,71,Some College,White,20k - 30k,Separated,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394604,19,Female,79,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394617,24,Male,83,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394618,16,Male,67,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2]
394653,9,Male,70,2-Year,Black,Prefer not to say,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
394668,30,Female,66,Some College,White,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394671,3,Male,20,Some College,Asian,Less than 10k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394675,28,Female,58,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394683,33,Female,28,Post-Grad,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394712,12,Male,64,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394715,41,Female,59,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394757,18,Male,52,Post-Grad,Asian,80k - 100k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394765,37,Male,44,4-Year,Other,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394776,26,Female,61,4-Year,White,80k - 100k,Divorced,Don't Know,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394782,44,Female,64,4-Year,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394789,53,Male,57,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394795,7,Female,79,Some College,Black,40k - 50k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394796,42,Female,82,2-Year,White,60k - 70k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394798,26,Male,82,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394801,36,Female,69,High School Graduate,Hispanic,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394825,53,Male,54,Post-Grad,White,150k+,Separated,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394834,26,Male,56,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394840,12,Female,51,Post-Grad,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
394841,36,Male,86,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394866,5,Male,72,Some College,White,60k - 70k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394874,12,Male,30,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
394917,49,Male,73,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394959,44,Female,61,Post-Grad,Black,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394964,1,Female,20,Some College,White,30k - 40k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394969,1,Female,68,4-Year,White,40k - 50k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394988,37,Male,62,High School Graduate,White,150k+,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394997,26,Male,78,4-Year,White,100k - 120k,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395018,39,Female,39,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395034,34,Female,53,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395055,47,Female,58,4-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395099,16,Female,68,Post-Grad,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395102,44,Female,79,Some College,White,10k - 20k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2]
395105,9,Male,61,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395112,23,Male,48,Some College,White,70k - 80k,Married,Some of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2]
395135,44,Female,18,High School Graduate,Asian,20k - 30k,Single / Never Married,Only now and then,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1]
395139,33,Male,55,Some College,White,120k - 150k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395161,53,Male,48,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395170,7,Female,71,Some College,White,70k - 80k,Divorced,Some of the time,Strongly Approve,Conservative,I Did Not Vote In This Race
395171,24,Male,87,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395203,42,Male,79,Some College,White,10k - 20k,Separated,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395223,7,Male,57,4-Year,Hispanic,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395247,50,Female,71,Some College,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395250,13,Female,51,High School Graduate,Black,30k - 40k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Not Sure,[Republican / Candidate 2]
395252,51,Female,77,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395263,49,Female,69,4-Year,White,30k - 40k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395281,21,Female,65,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395302,2,Female,68,2-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395304,13,Female,38,4-Year,Black,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395309,41,Female,55,Post-Grad,White,100k - 120k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395318,4,Female,49,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395320,53,Male,69,4-Year,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395325,13,Male,48,Post-Grad,White,Less than 10k,Married,Most of the time,Strongly Disapprove,Not Sure,[Republican / Candidate 2]
395348,23,Female,58,Post-Grad,Hispanic,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395355,30,Female,63,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395358,53,Female,27,Post-Grad,Hispanic,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395359,30,Female,69,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395365,18,Male,62,4-Year,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395370,30,Female,77,2-Year,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395378,36,Male,60,4-Year,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
395387,18,Female,43,Post-Grad,White,150k+,Married,Only now and then,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395433,22,Female,65,4-Year,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395437,14,Male,86,4-Year,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
395444,11,Male,52,4-Year,White,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395448,29,Male,59,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395450,2,Female,59,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395466,39,Male,55,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395475,46,Female,68,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395480,39,Male,53,Some College,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395483,35,Female,55,Some College,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395486,11,Male,54,2-Year,Asian,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395487,3,Male,72,Some College,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395488,39,Male,58,Post-Grad,Hispanic,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395491,31,Male,48,2-Year,Hispanic,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395498,40,Female,55,Some College,White,100k - 120k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1]
395499,2,Female,72,4-Year,White,80k - 100k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395522,18,Male,50,Post-Grad,White,120k - 150k,Single / Never Married,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395528,18,Male,80,Post-Grad,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395538,33,Female,71,Some College,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395543,51,Female,66,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395548,2,Male,75,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395549,17,Female,54,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395557,45,Female,68,Post-Grad,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395558,25,Male,81,2-Year,White,70k - 80k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395562,39,Male,29,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395563,53,Male,72,High School Graduate,White,Prefer not to say,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395565,47,Male,77,Post-Grad,Mixed,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395571,24,Male,45,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395573,3,Male,57,4-Year,White,150k+,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395574,22,Male,61,4-Year,White,40k - 50k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395578,7,Female,72,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395594,18,Male,84,Post-Grad,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395597,4,Female,58,Some College,White,10k - 20k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395598,34,Male,52,Post-Grad,Asian,150k+,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395604,1,Female,74,Post-Grad,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395611,25,Male,71,4-Year,White,20k - 30k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395617,23,Male,67,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395620,46,Male,57,4-Year,White,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2]
395626,7,Female,69,4-Year,White,70k - 80k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395629,49,Female,65,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395633,42,Male,61,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395637,26,Female,63,No HS,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395640,6,Female,80,4-Year,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395641,18,Male,69,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395648,42,Male,69,4-Year,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395653,16,Female,72,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395658,36,Male,52,4-Year,White,10k - 20k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
395665,8,Male,58,2-Year,White,40k - 50k,Separated,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395670,5,Female,18,Some College,White,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
395673,8,Male,73,No HS,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395679,14,Male,68,4-Year,Asian,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395688,29,Male,85,Some College,Black,40k - 50k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1]
395689,8,Female,65,Post-Grad,White,20k - 30k,Widowed,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395696,50,Male,65,Some College,White,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
395697,5,Female,75,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395708,26,Male,50,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395715,10,Female,58,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395716,14,Male,57,4-Year,Asian,60k - 70k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395717,52,Male,66,4-Year,White,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395723,5,Female,63,Post-Grad,White,20k - 30k,Widowed,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395734,39,Male,58,4-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395739,6,Female,77,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Conservative,[Democrat / Candidate 1]
395743,27,Male,46,Some College,Black,40k - 50k,Married,Hardly at all,Never Heard / Not Sure,Very Conservative,[Republican / Candidate 2]
395759,33,Male,51,Some College,White,50k - 60k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
395760,6,Male,68,Some College,White,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395761,23,Male,59,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395766,11,Male,71,Post-Grad,Mixed,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395776,31,Male,70,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395779,18,Female,78,Post-Grad,White,100k - 120k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395781,25,Male,61,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395786,24,Male,78,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395787,2,Male,49,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395794,47,Male,46,Some College,White,Less than 10k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
395799,44,Female,67,No HS,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
395803,3,Female,66,High School Graduate,White,Less than 10k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395835,23,Male,52,Post-Grad,Hispanic,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395851,11,Male,50,Post-Grad,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395854,17,Female,64,Post-Grad,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395883,36,Male,63,Post-Grad,White,70k - 80k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395901,41,Female,59,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395924,33,Male,83,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395945,13,Male,50,Post-Grad,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
395951,48,Female,71,Post-Grad,White,30k - 40k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395952,28,Female,26,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395969,33,Female,68,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395972,1,Female,68,Some College,White,40k - 50k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395980,8,Male,77,Post-Grad,Mixed,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395981,16,Male,69,4-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395988,9,Male,69,4-Year,Native American,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395997,7,Female,44,4-Year,White,150k+,Married,Some of the time,Disapprove / Somewhat Disapprove,Liberal,[Republican / Candidate 2]
396008,4,Male,76,2-Year,White,80k - 100k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
396010,26,Female,74,Some College,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
396025,16,Male,51,Post-Grad,White,150k+,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
396028,37,Male,83,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
