,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov,voted_gov_num
26,12,Female,80,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
27,50,Female,73,Post-Grad,White,30k - 40k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
28,8,Male,82,Some College,Native American,40k - 50k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
29,8,Male,56,Post-Grad,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2],1
30,1,Male,68,No HS,White,Prefer not to say,Divorced,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
31,15,Female,60,Some College,White,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
32,33,Male,68,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
33,50,Male,76,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
34,39,Male,52,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
35,5,Male,69,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
36,50,Male,63,2-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
37,11,Male,63,Post-Grad,Mixed,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
38,17,Male,66,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
39,36,Male,61,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
40,52,Male,55,High School Graduate,White,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
41,16,Male,58,Some College,Other,70k - 80k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
42,32,Male,57,Some College,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
43,46,Female,42,2-Year,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
44,8,Male,60,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
45,46,Female,29,Some College,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
46,1,Male,42,Some College,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
47,38,Female,55,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
48,42,Female,57,2-Year,White,100k - 120k,Divorced,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
49,12,Male,66,2-Year,Black,150k+,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
50,12,Male,47,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Not Sure,[Democrat / Candidate 1],0
51,29,Male,48,Post-Grad,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
52,52,Male,64,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
53,7,Male,52,4-Year,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2],1
54,4,Female,71,Some College,White,20k - 30k,Separated,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
55,19,Female,79,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
56,24,Male,83,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
57,16,Male,67,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2],1
58,9,Male,70,2-Year,Black,Prefer not to say,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
59,30,Female,66,Some College,White,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
60,3,Male,20,Some College,Asian,Less than 10k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
61,28,Female,58,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
62,33,Female,28,Post-Grad,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
63,12,Male,64,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
64,41,Female,59,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
65,18,Male,52,Post-Grad,Asian,80k - 100k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
66,37,Male,44,4-Year,Other,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
67,26,Female,61,4-Year,White,80k - 100k,Divorced,Don't Know,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
68,44,Female,64,4-Year,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
69,53,Male,57,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
70,7,Female,79,Some College,Black,40k - 50k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
71,42,Female,82,2-Year,White,60k - 70k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
72,26,Male,82,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
73,36,Female,69,High School Graduate,Hispanic,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
74,53,Male,54,Post-Grad,White,150k+,Separated,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
75,26,Male,56,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
76,12,Female,51,Post-Grad,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2],1
77,36,Male,86,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
78,5,Male,72,Some College,White,60k - 70k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
79,12,Male,30,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
80,49,Male,73,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
81,44,Female,61,Post-Grad,Black,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
82,1,Female,20,Some College,White,30k - 40k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
83,1,Female,68,4-Year,White,40k - 50k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
84,37,Male,62,High School Graduate,White,150k+,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
85,26,Male,78,4-Year,White,100k - 120k,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
86,39,Female,39,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
87,34,Female,53,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
88,47,Female,58,4-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
89,16,Female,68,Post-Grad,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
90,44,Female,79,Some College,White,10k - 20k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2],1
91,9,Male,61,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
92,23,Male,48,Some College,White,70k - 80k,Married,Some of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2],1
93,44,Female,18,High School Graduate,Asian,20k - 30k,Single / Never Married,Only now and then,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1],0
94,33,Male,55,Some College,White,120k - 150k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
95,53,Male,48,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
97,24,Male,87,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
98,42,Male,79,Some College,White,10k - 20k,Separated,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
99,7,Male,57,4-Year,Hispanic,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
100,50,Female,71,Some College,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
101,13,Female,51,High School Graduate,Black,30k - 40k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Not Sure,[Republican / Candidate 2],1
102,51,Female,77,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
103,49,Female,69,4-Year,White,30k - 40k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
104,21,Female,65,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
105,2,Female,68,2-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
106,13,Female,38,4-Year,Black,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
107,41,Female,55,Post-Grad,White,100k - 120k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
108,4,Female,49,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
109,53,Male,69,4-Year,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
110,13,Male,48,Post-Grad,White,Less than 10k,Married,Most of the time,Strongly Disapprove,Not Sure,[Republican / Candidate 2],1
111,23,Female,58,Post-Grad,Hispanic,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
112,30,Female,63,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
113,53,Female,27,Post-Grad,Hispanic,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
114,30,Female,69,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
115,18,Male,62,4-Year,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
116,30,Female,77,2-Year,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
117,36,Male,60,4-Year,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2],1
118,18,Female,43,Post-Grad,White,150k+,Married,Only now and then,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
119,22,Female,65,4-Year,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
120,14,Male,86,4-Year,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2],1
121,11,Male,52,4-Year,White,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
122,29,Male,59,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
123,2,Female,59,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
124,39,Male,55,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
125,46,Female,68,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
126,39,Male,53,Some College,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
127,35,Female,55,Some College,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
128,11,Male,54,2-Year,Asian,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
129,3,Male,72,Some College,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
130,39,Male,58,Post-Grad,Hispanic,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
131,31,Male,48,2-Year,Hispanic,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
132,40,Female,55,Some College,White,100k - 120k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1],0
133,2,Female,72,4-Year,White,80k - 100k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
134,18,Male,50,Post-Grad,White,120k - 150k,Single / Never Married,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
135,18,Male,80,Post-Grad,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
136,33,Female,71,Some College,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
137,51,Female,66,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
138,2,Male,75,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
139,17,Female,54,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
140,45,Female,68,Post-Grad,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
141,25,Male,81,2-Year,White,70k - 80k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
142,39,Male,29,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
143,53,Male,72,High School Graduate,White,Prefer not to say,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
144,47,Male,77,Post-Grad,Mixed,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
145,24,Male,45,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
146,3,Male,57,4-Year,White,150k+,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
147,22,Male,61,4-Year,White,40k - 50k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
148,7,Female,72,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
149,18,Male,84,Post-Grad,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
150,4,Female,58,Some College,White,10k - 20k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
151,34,Male,52,Post-Grad,Asian,150k+,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
152,1,Female,74,Post-Grad,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
153,25,Male,71,4-Year,White,20k - 30k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
154,23,Male,67,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
155,46,Male,57,4-Year,White,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2],1
156,7,Female,69,4-Year,White,70k - 80k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
157,49,Female,65,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
158,42,Male,61,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
159,26,Female,63,No HS,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
160,6,Female,80,4-Year,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
161,18,Male,69,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
162,42,Male,69,4-Year,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
163,16,Female,72,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
164,36,Male,52,4-Year,White,10k - 20k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1],0
165,8,Male,58,2-Year,White,40k - 50k,Separated,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
166,5,Female,18,Some College,White,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1],0
167,8,Male,73,No HS,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
168,14,Male,68,4-Year,Asian,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
169,29,Male,85,Some College,Black,40k - 50k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1],0
170,8,Female,65,Post-Grad,White,20k - 30k,Widowed,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
171,50,Male,65,Some College,White,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1],0
172,5,Female,75,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
173,26,Male,50,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
174,10,Female,58,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
175,14,Male,57,4-Year,Asian,60k - 70k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
176,52,Male,66,4-Year,White,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
177,5,Female,63,Post-Grad,White,20k - 30k,Widowed,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
178,39,Male,58,4-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
179,6,Female,77,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Conservative,[Democrat / Candidate 1],0
180,27,Male,46,Some College,Black,40k - 50k,Married,Hardly at all,Never Heard / Not Sure,Very Conservative,[Republican / Candidate 2],1
181,33,Male,51,Some College,White,50k - 60k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
182,6,Male,68,Some College,White,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
183,23,Male,59,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
184,11,Male,71,Post-Grad,Mixed,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
185,31,Male,70,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
186,18,Female,78,Post-Grad,White,100k - 120k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
187,25,Male,61,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
188,24,Male,78,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
189,2,Male,49,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
190,47,Male,46,Some College,White,Less than 10k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1],0
191,44,Female,67,No HS,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2],1
192,3,Female,66,High School Graduate,White,Less than 10k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
193,23,Male,52,Post-Grad,Hispanic,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
194,11,Male,50,Post-Grad,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
195,17,Female,64,Post-Grad,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
196,36,Male,63,Post-Grad,White,70k - 80k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
197,41,Female,59,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
198,33,Male,83,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
199,13,Male,50,Post-Grad,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
200,48,Female,71,Post-Grad,White,30k - 40k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
201,28,Female,26,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
202,33,Female,68,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
203,1,Female,68,Some College,White,40k - 50k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
204,8,Male,77,Post-Grad,Mixed,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
205,16,Male,69,4-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
206,9,Male,69,4-Year,Native American,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
207,7,Female,44,4-Year,White,150k+,Married,Some of the time,Disapprove / Somewhat Disapprove,Liberal,[Republican / Candidate 2],1
208,4,Male,76,2-Year,White,80k - 100k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
209,26,Female,74,Some College,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
210,16,Male,51,Post-Grad,White,150k+,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
211,37,Male,83,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
212,14,Female,65,Some College,Native American,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
