,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,ownhome,pid3,voted_gov
38036,1,Female,20,Some College,White,30k - 40k,Married,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38037,1,Female,68,4-Year,White,40k - 50k,Widowed,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38038,37,Male,62,High School Graduate,White,150k+,Divorced,Most of the time,Strongly Disapprove,Conservative,Rent,Independent,[Republican / Candidate 2]
38039,26,Male,78,4-Year,White,100k - 120k,Married,Some of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38041,39,Female,39,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Republican,[Democrat / Candidate 1]
38042,34,Female,53,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Independent,[Democrat / Candidate 1]
38044,47,Female,58,4-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38045,16,Female,68,Post-Grad,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38046,44,Female,79,Some College,White,10k - 20k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38047,9,Male,61,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38048,23,Male,48,Some College,White,70k - 80k,Married,Some of the time,Strongly Disapprove,Liberal,Own,Other,[Republican / Candidate 2]
38049,44,Female,18,High School Graduate,Asian,20k - 30k,Single / Never Married,Only now and then,Never Heard / Not Sure,Not Sure,Rent,Democrat,[Democrat / Candidate 1]
38050,33,Male,55,Some College,White,120k - 150k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,Own,Independent,[Democrat / Candidate 1]
38052,53,Male,48,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38054,7,Female,71,Some College,White,70k - 80k,Divorced,Some of the time,Strongly Approve,Conservative,Own,Independent,I Did Not Vote In This Race
38055,24,Male,87,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38057,42,Male,79,Some College,White,10k - 20k,Separated,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38058,7,Male,57,4-Year,Hispanic,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38059,50,Female,71,Some College,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38060,13,Female,51,High School Graduate,Black,30k - 40k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Not Sure,Rent,Democrat,[Republican / Candidate 2]
38061,51,Female,77,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38062,49,Female,69,4-Year,White,30k - 40k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Democrat,[Democrat / Candidate 1]
38063,21,Female,65,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38064,2,Female,68,2-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38065,13,Female,38,4-Year,Black,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38066,41,Female,55,Post-Grad,White,100k - 120k,Divorced,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38067,4,Female,49,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38068,53,Male,69,4-Year,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38069,13,Male,48,Post-Grad,White,Less than 10k,Married,Most of the time,Strongly Disapprove,Not Sure,Own,Not Sure,[Republican / Candidate 2]
38071,23,Female,58,Post-Grad,Hispanic,150k+,Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38072,30,Female,63,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38073,53,Female,27,Post-Grad,Hispanic,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38074,30,Female,69,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38075,18,Male,62,4-Year,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38076,30,Female,77,2-Year,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38077,36,Male,60,4-Year,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Republican / Candidate 2]
38078,18,Female,43,Post-Grad,White,150k+,Married,Only now and then,Approve / Somewhat Approve,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
38079,22,Female,65,4-Year,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38080,14,Male,86,4-Year,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Conservative,Own,Republican,[Republican / Candidate 2]
38081,11,Male,52,4-Year,White,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38082,29,Male,59,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38083,2,Female,59,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38084,39,Male,55,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38085,46,Female,68,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38086,39,Male,53,Some College,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38087,35,Female,55,Some College,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38088,11,Male,54,2-Year,Asian,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,Other,Republican,[Republican / Candidate 2]
38089,3,Male,72,Some College,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38090,39,Male,58,Post-Grad,Hispanic,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38091,31,Male,48,2-Year,Hispanic,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38092,40,Female,55,Some College,White,100k - 120k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,Rent,Independent,[Democrat / Candidate 1]
38093,2,Female,72,4-Year,White,80k - 100k,Widowed,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38094,18,Male,50,Post-Grad,White,120k - 150k,Single / Never Married,Only now and then,Strongly Disapprove,Conservative,Rent,Independent,[Republican / Candidate 2]
38095,18,Male,80,Post-Grad,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38096,33,Female,71,Some College,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38097,51,Female,66,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38098,2,Male,75,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38099,17,Female,54,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38101,45,Female,68,Post-Grad,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38102,25,Male,81,2-Year,White,70k - 80k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38103,39,Male,29,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38104,53,Male,72,High School Graduate,White,Prefer not to say,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38105,47,Male,77,Post-Grad,Mixed,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38106,24,Male,45,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38107,3,Male,57,4-Year,White,150k+,Divorced,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38109,7,Female,72,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38110,18,Male,84,Post-Grad,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,Rent,Independent,[Republican / Candidate 2]
38111,4,Female,58,Some College,White,10k - 20k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,Other,Democrat,[Democrat / Candidate 1]
38112,34,Male,52,Post-Grad,Asian,150k+,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38114,1,Female,74,Post-Grad,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38115,25,Male,71,4-Year,White,20k - 30k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38116,23,Male,67,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Independent,[Republican / Candidate 2]
38117,46,Male,57,4-Year,White,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,Own,Other,[Republican / Candidate 2]
38118,7,Female,69,4-Year,White,70k - 80k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,Own,Other,[Democrat / Candidate 1]
38119,49,Female,65,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38121,42,Male,61,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38122,26,Female,63,No HS,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38123,6,Female,80,4-Year,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38124,18,Male,69,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38125,42,Male,69,4-Year,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38126,16,Female,72,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38127,36,Male,52,4-Year,White,10k - 20k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38128,8,Male,58,2-Year,White,40k - 50k,Separated,Most of the time,Strongly Disapprove,Moderate,Rent,Independent,[Republican / Candidate 2]
38129,5,Female,18,Some College,White,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,Own,Democrat,[Democrat / Candidate 1]
38130,8,Male,73,No HS,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38131,14,Male,68,4-Year,Asian,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38132,29,Male,85,Some College,Black,40k - 50k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,Own,Independent,[Democrat / Candidate 1]
38133,8,Female,65,Post-Grad,White,20k - 30k,Widowed,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38134,50,Male,65,Some College,White,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Rent,Independent,[Democrat / Candidate 1]
38135,5,Female,75,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38136,26,Male,50,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38137,10,Female,58,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38138,14,Male,57,4-Year,Asian,60k - 70k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38139,52,Male,66,4-Year,White,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38140,5,Female,63,Post-Grad,White,20k - 30k,Widowed,Most of the time,Strongly Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38141,39,Male,58,4-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38142,6,Female,77,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Conservative,Rent,Independent,[Democrat / Candidate 1]
38143,27,Male,46,Some College,Black,40k - 50k,Married,Hardly at all,Never Heard / Not Sure,Very Conservative,Rent,Republican,[Republican / Candidate 2]
38144,33,Male,51,Some College,White,50k - 60k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38145,6,Male,68,Some College,White,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38146,23,Male,59,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38147,11,Male,71,Post-Grad,Mixed,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Independent,[Democrat / Candidate 1]
38148,31,Male,70,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
38149,18,Female,78,Post-Grad,White,100k - 120k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38150,25,Male,61,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38151,24,Male,78,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38152,2,Male,49,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
