,dist,cong,gender,birthyr,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
394258,12,115,Female,1938,80,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394267,50,115,Female,1945,73,Post-Grad,White,30k - 40k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
394306,8,115,Male,1936,82,Some College,Native American,40k - 50k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394318,8,115,Male,1962,56,Post-Grad,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
394339,1,115,Male,1950,68,No HS,White,Prefer not to say,Divorced,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394345,15,115,Female,1958,60,Some College,White,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394371,33,115,Male,1950,68,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394394,50,115,Male,1942,76,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394407,39,115,Male,1966,52,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394410,5,115,Male,1949,69,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394463,50,115,Male,1955,63,2-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394466,11,115,Male,1955,63,Post-Grad,Mixed,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394483,17,115,Male,1952,66,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394484,36,115,Male,1957,61,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
394487,52,115,Male,1963,55,High School Graduate,White,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394499,16,115,Male,1960,58,Some College,Other,70k - 80k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394501,32,115,Male,1961,57,Some College,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394508,46,115,Female,1976,42,2-Year,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
394514,8,115,Male,1958,60,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
394518,46,115,Female,1989,29,Some College,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394532,1,115,Male,1976,42,Some College,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394533,38,115,Female,1963,55,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394555,42,115,Female,1961,57,2-Year,White,100k - 120k,Divorced,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394556,12,115,Male,1952,66,2-Year,Black,150k+,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394562,12,115,Male,1971,47,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Not Sure,[Democrat / Candidate 1]
394569,29,115,Male,1970,48,Post-Grad,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394574,52,115,Male,1954,64,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394584,7,115,Male,1966,52,4-Year,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2]
394594,4,115,Female,1947,71,Some College,White,20k - 30k,Separated,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394604,19,115,Female,1939,79,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394617,24,115,Male,1935,83,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394618,16,115,Male,1951,67,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2]
394653,9,115,Male,1948,70,2-Year,Black,Prefer not to say,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
394668,30,115,Female,1952,66,Some College,White,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394671,3,115,Male,1998,20,Some College,Asian,Less than 10k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394675,28,115,Female,1960,58,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394683,33,115,Female,1990,28,Post-Grad,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394712,12,115,Male,1954,64,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394715,41,115,Female,1959,59,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394757,18,115,Male,1966,52,Post-Grad,Asian,80k - 100k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394765,37,115,Male,1974,44,4-Year,Other,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394776,26,115,Female,1957,61,4-Year,White,80k - 100k,Divorced,Don't Know,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394782,44,115,Female,1954,64,4-Year,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394789,53,115,Male,1961,57,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394795,7,115,Female,1939,79,Some College,Black,40k - 50k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394796,42,115,Female,1936,82,2-Year,White,60k - 70k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394798,26,115,Male,1936,82,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
394801,36,115,Female,1949,69,High School Graduate,Hispanic,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
394825,53,115,Male,1964,54,Post-Grad,White,150k+,Separated,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394834,26,115,Male,1962,56,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394840,12,115,Female,1967,51,Post-Grad,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
394841,36,115,Male,1932,86,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
394866,5,115,Male,1946,72,Some College,White,60k - 70k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
394874,12,115,Male,1988,30,4-Year,White,50k - 60k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
394917,49,115,Male,1945,73,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394959,44,115,Female,1957,61,Post-Grad,Black,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394964,1,115,Female,1998,20,Some College,White,30k - 40k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
394969,1,115,Female,1950,68,4-Year,White,40k - 50k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
394988,37,115,Male,1956,62,High School Graduate,White,150k+,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
394997,26,115,Male,1940,78,4-Year,White,100k - 120k,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395018,39,115,Female,1979,39,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395034,34,115,Female,1965,53,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395055,47,115,Female,1960,58,4-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395099,16,115,Female,1950,68,Post-Grad,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395102,44,115,Female,1939,79,Some College,White,10k - 20k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2]
395105,9,115,Male,1957,61,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395112,23,115,Male,1970,48,Some College,White,70k - 80k,Married,Some of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2]
395135,44,115,Female,2000,18,High School Graduate,Asian,20k - 30k,Single / Never Married,Only now and then,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1]
395139,33,115,Male,1963,55,Some College,White,120k - 150k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395161,53,115,Male,1970,48,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395170,7,115,Female,1947,71,Some College,White,70k - 80k,Divorced,Some of the time,Strongly Approve,Conservative,I Did Not Vote In This Race
395171,24,115,Male,1931,87,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395203,42,115,Male,1939,79,Some College,White,10k - 20k,Separated,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395223,7,115,Male,1961,57,4-Year,Hispanic,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395247,50,115,Female,1947,71,Some College,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395250,13,115,Female,1967,51,High School Graduate,Black,30k - 40k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Not Sure,[Republican / Candidate 2]
395252,51,115,Female,1941,77,Some College,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395263,49,115,Female,1949,69,4-Year,White,30k - 40k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395281,21,115,Female,1953,65,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395302,2,115,Female,1950,68,2-Year,White,Prefer not to say,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395304,13,115,Female,1980,38,4-Year,Black,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395309,41,115,Female,1963,55,Post-Grad,White,100k - 120k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395318,4,115,Female,1969,49,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395320,53,115,Male,1949,69,4-Year,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395325,13,115,Male,1970,48,Post-Grad,White,Less than 10k,Married,Most of the time,Strongly Disapprove,Not Sure,[Republican / Candidate 2]
395348,23,115,Female,1960,58,Post-Grad,Hispanic,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395355,30,115,Female,1955,63,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395358,53,115,Female,1991,27,Post-Grad,Hispanic,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395359,30,115,Female,1949,69,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395365,18,115,Male,1956,62,4-Year,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395370,30,115,Female,1941,77,2-Year,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395378,36,115,Male,1958,60,4-Year,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
395387,18,115,Female,1975,43,Post-Grad,White,150k+,Married,Only now and then,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395433,22,115,Female,1953,65,4-Year,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395437,14,115,Male,1932,86,4-Year,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
395444,11,115,Male,1966,52,4-Year,White,70k - 80k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395448,29,115,Male,1959,59,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395450,2,115,Female,1959,59,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395466,39,115,Male,1963,55,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395475,46,115,Female,1950,68,2-Year,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395480,39,115,Male,1965,53,Some College,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395483,35,115,Female,1963,55,Some College,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395486,11,115,Male,1964,54,2-Year,Asian,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395487,3,115,Male,1946,72,Some College,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395488,39,115,Male,1960,58,Post-Grad,Hispanic,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395491,31,115,Male,1970,48,2-Year,Hispanic,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395498,40,115,Female,1963,55,Some College,White,100k - 120k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1]
395499,2,115,Female,1946,72,4-Year,White,80k - 100k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395522,18,115,Male,1968,50,Post-Grad,White,120k - 150k,Single / Never Married,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395528,18,115,Male,1938,80,Post-Grad,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395538,33,115,Female,1947,71,Some College,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395543,51,115,Female,1952,66,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395548,2,115,Male,1943,75,4-Year,White,Prefer not to say,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395549,17,115,Female,1964,54,4-Year,Hispanic,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395557,45,115,Female,1950,68,Post-Grad,White,40k - 50k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395558,25,115,Male,1937,81,2-Year,White,70k - 80k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395562,39,115,Male,1989,29,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395563,53,115,Male,1946,72,High School Graduate,White,Prefer not to say,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395565,47,115,Male,1941,77,Post-Grad,Mixed,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395571,24,115,Male,1973,45,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395573,3,115,Male,1961,57,4-Year,White,150k+,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395574,22,115,Male,1957,61,4-Year,White,40k - 50k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395578,7,115,Female,1946,72,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395594,18,115,Male,1934,84,Post-Grad,White,50k - 60k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395597,4,115,Female,1960,58,Some College,White,10k - 20k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395598,34,115,Male,1966,52,Post-Grad,Asian,150k+,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395604,1,115,Female,1944,74,Post-Grad,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395611,25,115,Male,1947,71,4-Year,White,20k - 30k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395617,23,115,Male,1951,67,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395620,46,115,Male,1961,57,4-Year,White,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Republican / Candidate 2]
395626,7,115,Female,1949,69,4-Year,White,70k - 80k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395629,49,115,Female,1953,65,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395633,42,115,Male,1957,61,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395637,26,115,Female,1955,63,No HS,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395640,6,115,Female,1938,80,4-Year,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395641,18,115,Male,1949,69,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395648,42,115,Male,1949,69,4-Year,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395653,16,115,Female,1946,72,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
395658,36,115,Male,1966,52,4-Year,White,10k - 20k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
395665,8,115,Male,1960,58,2-Year,White,40k - 50k,Separated,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
395670,5,115,Female,2000,18,Some College,White,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
395673,8,115,Male,1945,73,No HS,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395679,14,115,Male,1950,68,4-Year,Asian,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395688,29,115,Male,1933,85,Some College,Black,40k - 50k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1]
395689,8,115,Female,1953,65,Post-Grad,White,20k - 30k,Widowed,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395696,50,115,Male,1953,65,Some College,White,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
395697,5,115,Female,1943,75,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395708,26,115,Male,1968,50,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395715,10,115,Female,1960,58,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395716,14,115,Male,1961,57,4-Year,Asian,60k - 70k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
395717,52,115,Male,1952,66,4-Year,White,70k - 80k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
395723,5,115,Female,1955,63,Post-Grad,White,20k - 30k,Widowed,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395734,39,115,Male,1960,58,4-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395739,6,115,Female,1941,77,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Conservative,[Democrat / Candidate 1]
395743,27,115,Male,1972,46,Some College,Black,40k - 50k,Married,Hardly at all,Never Heard / Not Sure,Very Conservative,[Republican / Candidate 2]
395759,33,115,Male,1967,51,Some College,White,50k - 60k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
395760,6,115,Male,1950,68,Some College,White,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395761,23,115,Male,1959,59,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395766,11,115,Male,1947,71,Post-Grad,Mixed,80k - 100k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
395776,31,115,Male,1948,70,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
395779,18,115,Female,1940,78,Post-Grad,White,100k - 120k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395781,25,115,Male,1957,61,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
395786,24,115,Male,1940,78,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395787,2,115,Male,1969,49,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395794,47,115,Male,1972,46,Some College,White,Less than 10k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
395799,44,115,Female,1951,67,No HS,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
395803,3,115,Female,1952,66,High School Graduate,White,Less than 10k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
395835,23,115,Male,1966,52,Post-Grad,Hispanic,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
395851,11,115,Male,1968,50,Post-Grad,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
395854,17,115,Female,1954,64,Post-Grad,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
